Report,District Name,RCDTS,Participating?,NCESID,ROE,Type,School Name,City,County,District Type,District Size,School Type_x,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,School EntityID,School Type_y,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,school_id,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e
Little Village Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Little Village Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,601,,,99.3,,,,,16.3,13.5,57.2,97.2,3.2,29.9,89.9,5.2,156,28.9,,,24.5,2,,,,,94.9,,,1,,,52,3,51,3,46,3,40,3,45,3,97,77.3,71,423,26,423,55.4,49.3,61,148,41.2,,,37.6,19,25,,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zapata Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Zapata Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,514,,,99.4,,,,,21.2,18.3,58.8,92.4,,32.8,91.3,6.8,131,27.9,,,23.7,2,,,,,90.5,,,2,,,72,4,67,4,65,4,51,3,55,3,74.8,74.6,108,345,69,345,52.8,57.3,63,120,52.5,,,32.2,6,8,,,8,Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ortiz De Dominguez Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Ortiz De Dominguez Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 2,,Targeted,388,,,99,,,,,26.5,22.9,75.5,94.3,,,90.3,12,66,31.7,,,27.2,2,,,,,96.3,,,2,,,71,4,61,4,82,5,,0,,0,0,58.2,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lara Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Lara Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,311,,5.5,92.6,,,,,19.9,17,58.5,94.5,,65.7,90,15.5,91,31.2,,,23,2,,,,,93,,,1,,,65,4,56,3,67,4,35,2,48,3,90.6,88.9,30,205,8,205,48.5,55,24,68,35.3,,,36.9,4,4,,,Not Provided,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telpochcalli Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,Telpochcalli Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Comprehensive,219,5.9,,90.9,,,,,23.3,19.6,61.6,86.3,,26.9,88.7,10.4,58,28.6,,,20.2,2.7,,,,,97,,,1,,,,0,,0,,0,43,3,58,3,79.8,17.1,15,139,13,139,41.8,46.2,14,45,31.8,,,42.7,8,13,,,13,Not Provided,,7539,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wells Preparatory Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Wells Preparatory Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,279,,97.1,,,,,,10.8,10,,87.8,5,4.5,90.6,11.4,131,54.4,,,24.5,4.7,,,,,96.4,,,2,,,66,4,67,4,65,4,79,4,94,5,92.1,72.2,50,162,14,162,67.9,48.5,8,45,18.2,,,35,7,7,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodlawn Elementary Community School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Woodlawn Elementary Community School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 6,,Commendable,180,,100,,,,,,10,6.1,,94.4,10,,90.6,8,24,17.3,,,23.3,2,,,,,85.7,,,1,,,76,4,73,4,62,4,68,4,83,5,93.8,72.2,29,88,11,88,70.3,74.8,12,25,48,,,36.8,Not Provided,Not Provided,,,Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,Christopher Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 8,,Comprehensive,322,,12.7,84.5,,,,,55.6,51.6,58.1,93.2,,4.5,84.3,8.8,61,19.2,,,20.4,2,,,,,93.7,,,1,,,47,3,39,2,45,3,42,3,40,3,91.3,67,17,235,14,235,38.9,50,19,84,22.6,,,54.5,10,13,,,9,4,,7542,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Park Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,West Park Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Comprehensive,459,2.8,15.9,80.6,,,,,18.7,15,44.9,96.7,,8.8,90.7,13.7,51,12.3,,,26.3,3,,,,,82.4,,,5,,,52,3,45,3,50,3,42,3,57,3,99.6,97.7,61,305,12,304,47.4,41.2,28,103,27.2,,,38.2,8,10,,,6,4,,7546,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Leadership Academy - Ames- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Marine Leadership Academy - Ames,Chicago,Cook,UNIT,LARGE,ELEMENTARY,7 - 12,,Commendable,697,2.7,1.7,95.3,,,,,19.7,11.3,33,93.1,1.4,31.8,84.5,5.3,447,63.5,,93.5,22.1,5,,,,,93.8,,,3,,,47,3,50,3,50,3,48,3,58,3,85.4,61.8,39,279,20,277,40.4,42.1,49,207,23.8,110,93.2,53,28,39,,,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,Fairfield Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Comprehensive,454,,18.5,81.3,,,,,15.9,13.2,59,98.7,3.5,15.9,90,11.1,116,26,,,27.4,1,,,,,74.5,,,2,,,,0,,0,,0,25,2,30,2,81.6,44.2,24,324,17,327,43.2,44.3,22,122,18,,,38.4,44,91,,,39,52,Not Provided,7551,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandoval Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,Sandoval Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 5,,Comprehensive,736,,1.6,96.5,,,,,14.5,7.5,73.1,93.2,,,91.2,8.2,205,33.3,,,24.7,3,,,,,94.2,,,2,,,42,3,34,2,59,3,50,3,82,5,99.5,66.7,62,337,66,337,48.8,49.7,52,127,40.9,,,34.2,,,,,,,,7552,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest Middle School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Northwest Middle School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,6 - 8,,Comprehensive,481,2.1,3.3,93.6,,,,,23.3,18.1,58.8,86.5,4.8,15.6,88.6,11.8,242,45.4,,,30.8,5,,,,,84,,,1,,,67,4,50,3,56,3,24,2,42,3,76.2,69.2,33,489,27,480,35.6,45.9,27,179,15.3,,,41.9,28,37,,,10,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton Elementary Fine & Perf Arts Sch- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Hampton Elementary Fine & Perf Arts Sch,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 8,,Commendable,465,,46.7,51.2,,,,,21.5,16.3,29.9,91.6,6.2,0,89.4,10.4,203,48.4,,,24.2,,,,,,87.2,,,1,,,20,2,12,1,33,2,16,1,32,2,83.1,55.1,31,304,15,301,45.8,42.1,22,115,19.1,,,42.7,30,47,,,10,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colemon J Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Colemon J Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,192,,94.3,5.7,,,,,19.3,14.6,,82.3,10.4,28,92,7.3,26,16.6,,,19.4,2,,,,,100,,,1,,,84,5,84,5,94,5,36,2,79,4,71,80,27,118,20,118,49.6,60.4,19,44,43.2,,,28.3,11,16,,,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Explorers Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Columbia Explorers Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,743,,,97.6,,,,,22.2,16.7,46,91.5,,28.9,93.6,7.5,145,23.5,,,28.1,5,,,,,84.5,,,3,,,68,4,70,4,78,4,58,3,72,4,78.9,60.9,190,463,92,462,61.9,56.7,86,149,57.7,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Academy Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Chicago Academy Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,563,18.7,3.2,73.4,2.7,,,,21.8,16.5,35.9,61.1,,29.5,92.1,2,159,34.8,,,26.5,2,,,,,88.1,,,2,,,47,3,45,3,56,3,54,3,58,3,93.8,82,89,344,82,344,48.2,45.7,51,118,43.6,,,26.2,Not Provided,Not Provided,,,Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtenay Elementary Language Arts Ctr- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,Courtenay Elementary Language Arts Ctr,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Comprehensive,209,7.7,53.6,32.1,,,,,42.1,39.7,31.1,92.3,11.5,31.6,88.6,35.7,83,39,,,23,,,,,,79.6,,,1,,,55,3,48,3,59,3,60,4,65,4,83.6,60.8,14,118,6,117,51.3,50.7,16,39,41,,,49.8,5,6,,,5,1,,7559,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashburn Community Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Ashburn Community Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,352,,80.7,17.9,,,,,21.3,17.6,9.1,81.8,,45.9,91.1,5.5,122,41.4,,,26,,,,,,86.7,,,3,,,36,2,38,2,53,3,39,2,48,3,80.2,76.1,39,227,20,226,45.8,43.6,20,72,27.8,,,28.3,5,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont-Cragin Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Belmont-Cragin Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,479,,,96.5,,,,,20,15.9,74.1,90.8,,18.2,91.3,8.2,116,36.5,,,24.4,5,,,,,98,,,2,,,58,3,64,4,74,4,39,2,46,3,87.6,90.7,19,215,15,215,45.3,52.5,10,58,17.2,,,34,3,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Teachers Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,National Teachers Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,751,11.2,72.3,6,5.1,,,5.2,15.6,8,3.2,61.3,2.5,35.6,92.1,10.2,308,47.1,,,27.3,2,,,,,77.1,,,2,,,53,3,37,2,55,3,33,2,60,4,88.1,92.3,154,468,106,459,53.9,50.4,69,160,45.4,,,29.6,14,14,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talman Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Talman Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,345,,,96.2,,,,,26.7,20.6,58.3,89.3,,42.4,90.3,3.2,79,28.4,,,17.8,2.6,,,,,88.6,,,1,,,42,3,45,3,68,4,,0,,0,42.5,54.4,62,206,33,206,49.4,53.5,21,65,32.3,,,38.6,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Field Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,New Field Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 4,,Commendable,511,12.9,30.9,42.7,5.9,,,7,22.5,15.9,40.5,76.1,,,91.3,15,108,29.2,,,25.8,1,,,,,83.6,,,1,,,28,2,8,1,44,3,56,3,63,4,74.2,65.2,26,146,17,145,41,51.2,,,,,,33.6,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durkin Park Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Durkin Park Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,665,3.5,11.1,83.9,,,,,20.8,14.7,37.9,76.2,6.3,35.4,91.4,6.5,152,27.8,,,25.4,5,,,,,93.1,,,2,,,58,3,58,3,57,3,46,3,59,3,92.5,85.3,99,408,62,408,53.3,52.1,57,145,39.3,,,32.6,14,19,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calmeca Acad Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Calmeca Acad Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,613,,,97.7,,,,,21.7,17.1,65.4,86.5,1.8,35.9,91,4.3,159,29.5,,,22.2,,,,,,92.8,,,2,,,63,4,58,3,62,4,46,3,52,3,94.2,63.5,44,402,13,402,46,50.9,41,137,30.1,,,34.9,17,20,,,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North River Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,North River Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,232,,,82.8,,,,6.9,23.7,19.4,67.7,78.9,5.6,51.9,93.7,27.5,87,40.3,,,26.9,2,,,,,82.5,,,1,,,66,4,72,4,80,5,64,4,87,5,88.9,93.3,30,147,19,146,45.9,62.1,17,50,34,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont Academy Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Claremont Academy Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,343,,76.1,22.4,,,,,25.7,23.3,14.9,94.5,12.5,12.8,91.2,27.7,202,57.2,,,23.7,1.1,,,,,97.9,,,2,,,56,3,53,3,57,3,99,5,91,5,79.6,55.2,31,223,20,219,55.1,46.9,17,80,21.3,,,39.7,6,6,,,Not Provided,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James R Doolittle Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,James R Doolittle Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Intensive,254,,100,,,,,,17.7,16.1,,99.6,22.4,29.2,90.3,19.6,136,60.7,,,22.8,2,,,,,80,,,2,,,45,3,35,2,50,3,50,3,50,3,88.7,84,4,140,0,139,40.7,36,7,48,14.6,,,38.1,2,2,,,1,1,,7575,"Elementary,Middle/Jr. High",6827,15,CPS,2023,ISI/RNA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suder Montessori Elementary Magnet Schl- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Suder Montessori Elementary Magnet Schl,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,444,18.9,50.9,20,3.6,,,5.4,19.4,11,5.4,43,3.4,0,91.1,3.2,66,21.4,,,12,1.5,,,,,88.5,,,2,,,35,2,31,2,61,4,32,2,45,3,88.2,60.4,32,209,29,209,40.7,46.5,16,55,30.2,,,32.9,8,8,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarkington Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Tarkington Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,863,,18.7,79.6,,,,,18.8,14.7,41.4,92.7,2.2,25.9,91.3,4.6,352,43.7,,,23.6,,,,,,86,,,3,,,5,1,10,1,32,2,28,2,33,2,85.4,74.3,124,614,46,611,56,50.4,52,214,24.3,,,31.4,14,14,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frazier Perspectives Magnet ES- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Frazier Perspectives Magnet ES,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 8,,Commendable,131,,95.4,,,,,,19.8,15.3,,88.5,,26.3,91.3,9.6,65,51.6,,,13.3,2,,,,,57.7,,,1,,,29,2,25,2,13,1,48,3,66,4,67.1,77.8,22,92,5,92,51.5,43.2,16,28,57.1,,,31.4,28,48,,,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disney II Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Disney II Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 6,,Exemplary,431,39.7,7.4,41.3,6.5,,,4.6,18.8,10.9,11.4,30.9,,,93.4,,56,16.6,,,28.1,2,,,,,,,,,,,52,3,60,4,65,4,34,2,40,3,92.9,68.4,103,223,81,222,61.7,64.3,42,56,76.4,,,16.8,2,2,,,2,Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plato Learning Acad  Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Plato Learning Acad  Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 8,,Commendable,176,,98.9,,,,,,15.3,9.1,,98.9,,0,91.4,12.7,14,8.1,,,21.7,3,,,,,26.3,,,1,,,48,3,29,2,,0,37,2,47,3,91.2,70.6,8,136,3,136,35.8,44.1,6,53,11.3,,,32.1,19,26,,,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edison Park Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Edison Park Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 8,,Commendable,408,68.4,,24,4.7,,,,29.4,21.3,10.8,15.7,,68.1,93.1,2.7,26,6.7,,,20.9,3.6,,,,,90,,,3,,,51,3,46,3,72,4,63,4,74,4,62.2,66.7,109,272,73,270,51.5,44.8,35,72,50.7,,,19.9,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis M Magnet Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Davis M Magnet Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,130,,84.6,14.6,,,,,27.7,19.2,12.3,84.6,,22.2,93.4,,51,45.9,,,10.1,,,,,,76.9,,,1,,,37,2,25,2,42,3,53,3,76,4,94.4,99.9,9,84,14,83,52.8,62.2,10,30,33.3,,,24,14,29,,,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaSalle II Lang Acad Elementary Sch- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,LaSalle II Lang Acad Elementary Sch,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Exemplary,576,27.1,20.1,42,3,,,6.9,21.2,12.7,11.5,33.2,,89.1,93.6,,53,11.8,,,27.8,5,,,,,89.7,,,1,,,71,4,60,4,73,4,40,3,61,4,99.9,77.4,182,334,170,335,57.1,61.2,94,116,81,,,17.5,5,5,,,5,Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prieto Math-Science Elementary Sch- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Prieto Math-Science Elementary Sch,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,742,,3.4,95.1,,,,,20.1,16.3,56.5,91.6,,39.2,91.3,10.8,259,36.7,,,24.3,2,,,,,90,,,2,,,66,4,64,4,71,4,54,3,69,4,70,84.6,81,538,29,538,54.6,54.1,36,184,19.6,,,31,Not Provided,Not Provided,,,Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skinner North Elementary Sch- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Skinner North Elementary Sch,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 8,,Exemplary,490,27.1,4.9,8,48.2,,,10.8,17.3,5.9,,10.2,,100,94.4,,44,10.1,,,27.1,4,,,,,76.9,,,1,,,65,4,68,4,86,5,49,3,74,4,98.1,67.7,299,318,293,318,65.6,64,101,104,97.1,,,13.2,2,10,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Shore Fine Arts Elementary Sch- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,South Shore Fine Arts Elementary Sch,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,253,,94.9,,,,,,30.8,29.2,,71.5,4.7,43.5,90.4,8.7,95,51.9,,,19.3,5,,,,,90,,,2,,,61,4,70,4,63,4,72,4,91,5,54.4,62.8,24,130,13,131,55.1,60.3,10,52,19.2,,,38.8,20,39,,,13,26,Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope Learning Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Hope Learning Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 5,,Comprehensive,240,,92.9,6.3,,,,,41.3,32.5,4.2,95.8,13.3,,86.7,9.1,157,74.4,,,21.2,,,,,,47.8,,,1,,,,0,,0,,0,,0,,0,,,8,114,13,114,42.1,47.8,7,39,17.9,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camras Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Camras Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,789,4.8,1.9,90.5,1.5,,,,18.8,14.6,48.2,83.4,5.8,48.9,91.7,8.8,310,46.9,,,26.6,3,,,,,91,,,1,,,41,3,41,3,44,3,35,2,42,3,93.5,59.5,70,477,50,476,46.9,48.3,51,165,31.1,,,32,4,4,,,2,2,Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
